position,TerrainSlope,lon,lat
2.797225,2.589478,-149.136153,-85.735667
2.802969,2.5122,-149.134154,-85.73555
2.808713,2.437853,-149.132155,-85.735432
2.814457,2.493388,-149.130157,-85.735315
2.820201,3.322158,-149.128159,-85.735197
2.825945,4.089214,-149.12616,-85.73508
2.831689,4.111557,-149.124162,-85.734962
2.837433,4.075863,-149.122164,-85.734845
2.843177,4.042535,-149.120166,-85.734727
2.848921,4.011139,-149.118168,-85.73461
2.854665,3.981317,-149.11617,-85.734492
2.860409,3.95362,-149.114173,-85.734375
2.866153,3.928195,-149.112175,-85.734257
2.871897,3.844231,-149.110178,-85.73414
2.877641,2.359203,-149.108181,-85.734022
2.883385,1.477671,-149.106183,-85.733905
2.889129,1.604145,-149.104186,-85.733787
2.89354,1.710498,-149.102653,-85.733697
2.899284,1.809191,-149.101075,-85.733548
2.905028,1.919465,-149.099497,-85.7334
2.910772,2.029759,-149.097919,-85.733251
2.916516,2.140174,-149.096342,-85.733102
2.92226,2.250735,-149.094764,-85.732954
2.928004,2.361267,-149.093186,-85.732805
2.933748,2.470189,-149.091609,-85.732656
2.939492,2.664987,-149.090032,-85.732508
2.945236,2.803939,-149.088455,-85.732359
2.95098,2.710711,-149.086878,-85.73221
2.956724,2.514478,-149.085301,-85.732062
2.962468,2.17442,-149.083724,-85.731913
2.968212,1.817231,-149.082147,-85.731764
2.973956,1.475897,-149.080571,-85.731615
2.9797,1.280903,-149.078994,-85.731467
2.985444,1.489566,-149.077418,-85.731318
2.991188,1.70902,-149.075841,-85.731169
2.996932,1.712917,-149.074265,-85.731021
3.002676,1.383851,-149.072689,-85.730872
3.00842,1.798354,-149.071113,-85.730723
3.014164,2.464438,-149.069537,-85.730574
3.019908,2.633787,-149.067962,-85.730426
3.025652,2.773544,-149.066386,-85.730277
3.031396,2.91489,-149.064811,-85.730128
3.03714,3.057086,-149.063235,-85.729979
3.042884,3.200314,-149.06166,-85.729831
3.048628,3.345164,-149.060085,-85.729682
3.054372,3.490611,-149.05851,-85.729533
3.060116,3.636942,-149.056935,-85.729384
3.06586,3.20836,-149.05536,-85.729236
3.071604,2.931991,-149.053785,-85.729087
3.077348,3.39366,-149.05221,-85.728938
3.083092,3.370899,-149.050636,-85.728789
3.08616,3.262379,-149.049795,-85.72871
3.091904,3.08878,-149.047599,-85.728614
3.097648,2.904219,-149.045403,-85.728519
3.103392,2.742117,-149.043207,-85.728423
3.109136,2.606067,-149.041011,-85.728328
3.114118,2.500931,-149.039106,-85.728245
3.119862,2.757266,-149.038213,-85.728068
3.125606,2.770622,-149.037305,-85.727891
3.13135,2.225979,-149.036382,-85.727714
3.137094,1.224393,-149.035489,-85.727537
3.142838,0.648288,-149.034581,-85.72736
3.145542,0.648288,-149.034139,-85.727277
3.151286,0.694427,-149.032606,-85.727126
3.15703,0.90834,-149.031072,-85.726975
3.162774,1.128043,-149.029539,-85.726824
3.168518,1.339186,-149.028006,-85.726673
3.174263,1.513305,-149.026473,-85.726521
3.180007,1.640137,-149.024941,-85.72637
3.185751,1.762323,-149.023408,-85.726219
3.191495,1.884055,-149.021875,-85.726068
3.197239,2.018341,-149.020343,-85.725917
3.202983,2.145113,-149.018811,-85.725766
3.208727,2.202473,-149.017278,-85.725615
3.214471,2.209969,-149.015746,-85.725464
3.220215,2.217285,-149.014214,-85.725312
3.225959,2.224965,-149.012682,-85.725161
3.231703,2.232667,-149.011151,-85.72501
3.237447,2.240439,-149.009619,-85.724859
3.243191,2.247916,-149.008087,-85.724708
3.248935,2.255672,-149.006556,-85.724557
3.254679,2.262329,-149.005024,-85.724406
3.260423,2.079001,-149.003493,-85.724254
3.266167,2.117159,-149.001962,-85.724103
3.271911,2.835835,-149.000431,-85.723952
3.277655,3.107109,-148.9989,-85.723801
3.283399,3.084386,-148.997369,-85.72365
3.289143,3.060504,-148.995839,-85.723499
3.294887,3.010527,-148.994308,-85.723347
3.300631,2.923066,-148.992777,-85.723196
3.306375,2.868515,-148.991247,-85.723045
3.312119,2.817433,-148.989717,-85.722894
3.317863,2.755959,-148.988187,-85.722743
3.323607,2.679934,-148.986656,-85.722591
3.329351,2.347954,-148.985127,-85.72244
3.335095,2.054106,-148.983597,-85.722289
3.340839,2.003873,-148.982067,-85.722138
3.34281,2.003873,-148.981542,-85.722086
3.348554,2.063942,-148.97941,-85.721983
3.354298,2.117988,-148.977278,-85.72188
3.360042,2.173166,-148.975147,-85.721777
3.365786,2.229378,-148.973015,-85.721674
3.37153,2.286623,-148.970884,-85.721571
3.377274,2.344579,-148.968752,-85.721468
3.383018,2.398643,-148.966621,-85.721365
3.388762,2.411392,-148.96449,-85.721262
3.394506,2.362137,-148.962359,-85.721159
3.40025,2.318838,-148.960228,-85.721057
3.405994,2.304438,-148.958097,-85.720954
3.411738,2.290032,-148.955967,-85.720851
3.417482,2.275162,-148.953836,-85.720748
3.423226,2.260522,-148.951705,-85.720645
3.428971,2.245767,-148.949575,-85.720542
3.434715,2.231316,-148.947445,-85.720439
3.440459,2.21708,-148.945314,-85.720336
3.446203,2.150678,-148.943184,-85.720233
3.451947,2.005296,-148.941054,-85.720129
3.457691,2.040409,-148.938924,-85.720026
3.463123,2.137159,-148.93691,-85.719929
3.468867,2.235119,-148.935601,-85.719767
3.474611,2.32078,-148.934292,-85.719604
3.480355,2.406765,-148.932984,-85.719442
3.486099,2.492861,-148.931675,-85.71928
3.491843,2.579462,-148.930366,-85.719118
3.497587,2.66646,-148.929058,-85.718955
